"variable","value","quarter0","quarter1","product"
"MMT_exit_ln",0.0104673309185568,2021-09-01,2021-12-01,"desktop"
"MMT_quality_ln",-0.0318888332371518,2021-09-01,2021-12-01,"desktop"
"TPD_price_ln",-0.0075758994672656,2021-09-01,2021-12-01,"desktop"
"TPD_entry_ln",0.0250350121728908,2021-09-01,2021-12-01,"desktop"
"TPD_exit_ln",0.0361037707929528,2021-09-01,2021-12-01,"desktop"
"TPD_comp_ln",-0.0236952666038929,2021-09-01,2021-12-01,"desktop"
"TPD_quality_ln",-0.0347640252239549,2021-09-01,2021-12-01,"desktop"
"cewgmp_ln",-0.0423399246912225,2021-09-01,2021-12-01,"desktop"
"GEKST_price_ln",0.00427954849751334,2021-09-01,2021-12-01,"desktop"
"GEKST_comp_ln",-0.104040436775318,2021-09-01,2021-12-01,"desktop"
"GEKST_entry_ln",0.0580440625508427,2021-09-01,2021-12-01,"desktop"
"GEKST_exit_ln",0.000623098964258516,2021-09-01,2021-12-01,"desktop"
"GEKST_quality_ln",-0.0466194731887336,2021-09-01,2021-12-01,"desktop"
"expshare_matched0",0.974698857992435,2021-12-01,2022-03-01,"desktop"
"expshare_matched1",0.97458116147748,2021-12-01,2022-03-01,"desktop"
"expshare_disappearing0",0.0253011420075652,2021-12-01,2022-03-01,"desktop"
"expshare_new1",0.02541883852252,2021-12-01,2022-03-01,"desktop"
"MMT_price_ln",0.00162816875600725,2021-12-01,2022-03-01,"desktop"
"MMT_comp_ln",-0.0140175755405188,2021-12-01,2022-03-01,"desktop"
"MMT_entry_ln",0.00222590490740604,2021-12-01,2022-03-01,"desktop"
"MMT_exit_ln",-0.00169670175703462,2021-12-01,2022-03-01,"desktop"
"MMT_quality_ln",-0.0100949688760781,2021-12-01,2022-03-01,"desktop"
"TPD_price_ln",0.00644437730684659,2021-12-01,2022-03-01,"desktop"
"TPD_entry_ln",0.019658608603515,2021-12-01,2022-03-01,"desktop"
"TPD_exit_ln",0.0162954657856376,2021-12-01,2022-03-01,"desktop"
"TPD_comp_ln",-0.0182743202447949,2021-12-01,2022-03-01,"desktop"
"TPD_quality_ln",-0.0149111774269174,2021-12-01,2022-03-01,"desktop"
"cewgmp_ln",-0.0084668001200687,2021-12-01,2022-03-01,"desktop"
"GEKST_price_ln",-0.0070570534623585,2021-12-01,2022-03-01,"desktop"
"GEKST_comp_ln",0.0177800232866158,2021-12-01,2022-03-01,"desktop"
"GEKST_entry_ln",0.0482047578547778,2021-12-01,2022-03-01,"desktop"
"GEKST_exit_ln",0.067394527799106,2021-12-01,2022-03-01,"desktop"
"GEKST_quality_ln",-0.00140974665771237,2021-12-01,2022-03-01,"desktop"
"expshare_matched0",0.923375952107028,2022-03-01,2022-06-01,"desktop"
"expshare_matched1",0.971623299453793,2022-03-01,2022-06-01,"desktop"
"expshare_disappearing0",0.0766240478929723,2022-03-01,2022-06-01,"desktop"
"expshare_new1",0.028376700546207,2022-03-01,2022-06-01,"desktop"
"MMT_price_ln",-0.0144633215406081,2022-03-01,2022-06-01,"desktop"
"MMT_comp_ln",-0.00415954754902485,2022-03-01,2022-06-01,"desktop"
"MMT_entry_ln",-0.00449453007651712,2022-03-01,2022-06-01,"desktop"
"MMT_exit_ln",0.0097909565659311,2022-03-01,2022-06-01,"desktop"
"MMT_quality_ln",-0.0184450341914731,2022-03-01,2022-06-01,"desktop"
"TPD_price_ln",-0.0115077578797274,2022-03-01,2022-06-01,"desktop"
"TPD_entry_ln",0.0141539910908467,2022-03-01,2022-06-01,"desktop"
"TPD_exit_ln",0.0595974765277468,2022-03-01,2022-06-01,"desktop"
